Frequency (Hz),Level (dBm)
60.46,-88.73
60.47,-83.19
60.48,-89.88
60.49,-89.51
60.50,-90.99
60.51,-89.03
60.52,-84.04
60.53,-86.69
60.54,-87.81
60.55,-95.91
60.56,-90.29
60.57,-91.87
60.58,-85.69
60.59,-89.49
60.60,-87.11
60.61,-89.66
60.62,-87.27
60.63,-86.43
60.64,-99.39
60.65,-85.78
60.66,-94.60
60.67,-93.41
60.68,-94.28
60.69,-91.13
60.70,-88.09
60.71,-97.98
60.72,-93.86
60.73,-99.91
60.74,-100.18
60.75,-95.34
60.76,-96.09
60.77,-89.39
60.78,-89.33
60.79,-96.37
60.80,-98.31
60.81,-97.48
60.82,-95.26
60.83,-93.01
60.84,-97.15
60.85,-89.95
60.86,-89.49
60.87,-97.81
60.88,-91.27
60.89,-94.20
60.90,-88.41
60.91,-94.31
60.92,-99.66
60.93,-94.73
60.94,-96.01
60.95,-91.10
60.96,-97.88
60.97,-87.45
60.98,-95.32
60.99,-88.11
61.00,-93.55
61.01,-99.59
61.02,-92.42
61.03,-94.10
61.04,-92.04
61.05,-93.02
61.06,-88.20
61.07,-93.16
61.08,-95.04
61.09,-93.57
61.10,-89.69
61.11,-87.38
61.12,-87.54
61.13,-92.44
61.14,-94.83
61.15,-94.79
61.16,-94.02
61.17,-96.06
61.18,-89.37
61.19,-94.56
61.20,-86.54
61.21,-89.09
61.22,-87.80
61.23,-97.13
61.24,-94.64
61.25,-91.63
61.26,-88.69
61.27,-93.94
61.28,-93.09
61.29,-98.31
61.30,-91.76
61.31,-89.53
61.32,-89.26
61.33,-88.89
61.34,-87.94
61.35,-87.23
61.36,-84.14
61.37,-85.73
61.38,-87.94
61.39,-85.04
61.40,-87.37
61.41,-87.67
61.42,-82.55
61.43,-82.42
61.44,-87.71
61.45,-85.81
61.46,-90.42
61.47,-83.70
61.48,-85.56
61.49,-82.71
61.50,-90.20
61.51,-82.90
61.52,-86.57
61.53,-82.65
61.54,-94.51
61.55,-90.93
61.56,-91.02
61.57,-88.44
61.58,-85.29
61.59,-86.33
61.60,-86.62
61.61,-90.21
61.62,-88.60
61.63,-89.05
61.64,-84.75
61.65,-92.27
61.66,-87.59
61.67,-86.60
61.68,-86.30
61.69,-88.70
61.70,-93.84
61.71,-88.08
61.72,-87.52
61.73,-90.64
61.74,-90.21
61.75,-86.22
61.76,-87.09
61.77,-89.58
61.78,-88.84
61.79,-87.60
61.80,-90.99
61.81,-93.80
61.82,-88.81
61.83,-90.75
61.84,-91.02
61.85,-90.53
61.86,-87.20
61.87,-91.89
61.88,-90.77
61.89,-97.33
61.90,-93.06
61.91,-92.20
61.92,-97.08
61.93,-90.78
61.94,-96.93
61.95,-93.60
61.96,-91.19
61.97,-91.66
61.98,-89.92
61.99,-92.25
62.00,-88.30
62.01,-88.03
62.02,-90.23
62.03,-86.95
62.04,-95.34
62.05,-90.81
62.06,-90.36
62.07,-91.85
62.08,-87.51
62.09,-90.56
62.10,-91.85
62.11,-90.83
62.12,-85.46
62.13,-95.81
62.14,-89.22
62.15,-92.25
62.16,-90.77
62.17,-96.07
62.18,-89.83
62.19,-94.05
62.20,-86.13
62.21,-94.50
62.22,-91.48
62.23,-91.84
62.24,-99.22
62.25,-95.75
62.26,-87.02
62.27,-93.96
62.28,-89.27
62.29,-95.34
62.30,-87.79
62.31,-89.49
62.32,-87.15
62.33,-95.29
62.34,-90.51
62.35,-94.66
62.36,-84.52
62.37,-91.14
62.38,-99.25
62.39,-94.42
62.40,-85.54
62.41,-89.47
62.42,-95.34
62.43,-93.54
62.44,-96.01
62.45,-92.79
62.46,-92.52
62.47,-91.39
62.48,-93.73
62.49,-87.18
62.50,-91.26
62.51,-86.25
62.52,-88.58
62.53,-84.19
62.54,-85.53
62.55,-89.80
62.56,-83.14
62.57,-92.84
62.58,-84.88
62.59,-93.20
62.60,-82.29
62.61,-89.29
62.62,-86.25
62.63,-91.08
62.64,-84.34
62.65,-85.24
62.66,-92.35
62.67,-85.50
62.68,-89.96
62.69,-88.49
62.70,-88.25
62.71,-91.47
62.72,-88.92
62.73,-84.64
62.74,-91.05
62.75,-90.78
62.76,-88.55
62.77,-88.07
62.78,-90.50
62.79,-90.30
62.80,-86.71
62.81,-89.15
62.82,-84.88
62.83,-92.18
62.84,-86.08
62.85,-88.75
62.86,-87.34
62.87,-86.18
62.88,-86.21
62.89,-85.22
62.90,-87.25
62.91,-83.70
62.92,-90.27
62.93,-81.82
62.94,-81.92
62.95,-85.56
62.96,-82.41
62.97,-85.77
62.98,-81.27
62.99,-79.28
63.00,-83.98
63.01,-85.75
63.02,-85.39
63.03,-84.60
63.04,-82.19
63.05,-90.51
63.06,-93.56
63.07,-93.44
63.08,-89.98
63.09,-96.73
63.10,-97.17
63.11,-93.39
63.12,-95.49
63.13,-92.78
63.14,-89.35
63.15,-91.94
63.16,-93.43
63.17,-90.61
63.18,-103.69
63.19,-98.14
63.20,-94.00
63.21,-88.31
63.22,-96.55
63.23,-97.97
63.24,-98.30
