Zone_1,Zone_2,Type,Order,Distance,Frequency_MHz,Severity,Device_1,Device_2,Parent_Freq1,Parent_Freq2
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,47.355,Medium,Lectrosonics 100 KHz Block 26 - 'B/2,Senn EM3732 A - ACR2 RF 19,683.4,471.385
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,47.475,Medium,Generic - 662-698,Senn EM3732 A - ACR2 RF 21,695.085,479.215
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,48.0,Medium,Shure PSM-1000 G10 - NAME GOES HERE,RFWS Senn  36Mhz 662-698 - ',471.8,683.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,48.0,Medium,Shure PSM-1000 G10 - NAME GOES HERE,RFWS Senn  36Mhz 662-698 - ',471.8,683.7
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,48.1,Medium,Lectrosonics 100 KHz Block 26 - 'D/D,Senn EM3732 A - ACR2 RF 20,687.7,474.5
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,48.15,Medium,Shure PSM-1000 L8 - ',Generic Generic - CP24 Intercom Tx,690.0,476.05
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,48.215,Medium,Generic - 662-698,Senn EM3732 A - ACR2 RF 21,694.715,479.215
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,48.575,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',475.375,688.775
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,48.575,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',475.375,688.775
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,48.6,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectrosonics 100 KHz Block 26 - 'B/2,471.8,683.4
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,48.6,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectrosonics 100 KHz Block 26 - 'B/2,471.8,683.4
Zone 1,Zone 3,Cross-Zone,3f1-2f2,73.98,48.855,Medium,Senn EM3732 A - ACR2 RF 19,Generic - Mathew McNiven #4,471.385,682.65
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,48.895,Medium,RFWS Senn  36Mhz 662-698 - ',Senn EM3732 A - ACR4 RF 2,684.1,472.365
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,49.565,Medium,RFWS Senn  36Mhz 662-698 - ',Senn EM3732 A - ACR4 RF 1,681.425,470.805
