Frequency (Hz),Average,Median,Range,Std Dev,Variance,PSD (dBm/Hz)
59.763,,,,,,
,-85.091,-85.091,19.411,13.726,188.393,-125.091
,-86.329,-86.329,21.888,15.477,239.542,-126.329
,-84.754,-84.754,18.737,13.249,175.538,-124.754
,-85.285,-85.285,19.800,14.001,196.020,-125.285
,-86.225,-86.225,21.680,15.330,235.011,-126.225
,-84.393,-84.393,18.016,12.739,162.288,-124.393
,-84.782,-84.782,18.794,13.289,176.607,-124.782
,-85.443,-85.443,20.116,14.224,202.327,-125.443
,-85.829,-85.829,20.888,14.770,218.154,-125.829
59.872,,,,,,
,-81.817,-81.817,12.863,9.096,82.728,-121.816
,-81.200,-81.200,11.630,8.224,67.628,-121.200
,-85.493,-85.493,20.215,14.294,204.323,-125.493
,-80.403,-80.403,10.036,7.097,50.361,-120.403
,-86.691,-86.691,22.612,15.989,255.651,-126.691
,-85.696,-85.696,20.621,14.581,212.613,-125.696
,-84.882,-84.882,18.994,13.431,180.386,-124.882
,-83.208,-83.208,15.646,11.063,122.399,-123.208
,-84.704,-84.704,18.638,13.179,173.688,-124.704
,-86.144,-86.144,21.517,15.215,231.491,-126.144
59.980,,,,,,
,-84.893,-84.893,19.015,13.446,180.785,-124.893
,-80.842,-80.842,10.914,7.717,59.558,-120.842
,-85.755,-85.755,20.740,14.665,215.074,-125.755
,-85.711,-85.711,20.652,14.603,213.253,-125.711
,-84.639,-84.639,18.509,13.088,171.292,-124.639
,-85.061,-85.061,19.352,13.684,187.250,-125.061
,-83.822,-83.822,16.873,11.931,142.349,-123.821
,-84.649,-84.649,18.528,13.101,171.643,-124.649
,-86.001,-86.001,21.232,15.013,225.399,-126.001
60.088,,,,,,
,-85.613,-85.613,20.456,14.465,209.224,-125.613
,-85.880,-85.880,20.990,14.842,220.290,-125.880
,-85.095,-85.095,19.419,13.731,188.549,-125.095
,-86.072,-86.072,21.373,15.113,228.403,-126.071
,-86.661,-86.661,22.551,15.946,254.274,-126.661
,-86.047,-86.047,21.325,15.079,227.378,-126.047
,-83.972,-83.972,17.174,12.144,147.473,-123.972
,-85.868,-85.868,20.965,14.824,219.766,-125.868
,-86.049,-86.049,21.329,15.082,227.463,-126.049
60.197,,,,,,
,-83.460,-83.460,16.149,11.419,130.395,-123.460
,-82.832,-82.832,14.893,10.531,110.901,-122.832
,-86.254,-86.254,21.738,15.371,236.270,-126.254
,-85.155,-85.155,19.540,13.817,190.906,-125.155
,-85.360,-85.360,19.950,14.107,199.001,-125.360
,-84.299,-84.299,17.827,12.606,158.901,-124.299
,-86.661,-86.661,22.551,15.946,254.274,-126.661
,-82.520,-82.520,14.270,10.090,101.816,-122.520
,-78.653,-78.653,6.536,4.622,21.360,-118.653
60.305,,,,,,
,-81.963,-81.963,13.155,9.302,86.527,-121.963
,-86.348,-86.348,21.926,15.504,240.375,-126.348
,-83.654,-83.654,16.538,11.694,136.753,-123.654
,-86.954,-86.954,23.138,16.361,267.684,-126.954
,-86.147,-86.147,21.524,15.220,231.641,-126.147
,-84.565,-84.565,18.360,12.982,168.545,-124.565
,-84.827,-84.827,18.884,13.353,178.303,-124.827
,-81.578,-81.578,12.386,8.758,76.706,-121.578
,-78.361,-78.361,5.952,4.209,17.713,-118.361
,-79.460,-79.460,8.151,5.764,33.219,-119.460
60.414,,,,,,
,-84.964,-84.964,19.158,13.547,183.514,-124.964
,-87.110,-87.110,23.450,16.582,274.951,-127.110
,-86.185,-86.185,21.600,15.274,233.280,-126.185
,-86.521,-86.521,22.272,15.749,248.021,-126.521
,-87.464,-87.464,24.158,17.082,291.804,-127.464
,-88.023,-88.023,25.275,17.872,319.413,-128.023
,-86.265,-86.265,21.760,15.387,236.749,-126.265
,-87.168,-87.168,23.565,16.663,277.655,-127.167
,-82.093,-82.093,13.415,9.486,89.981,-122.093
60.522,,,,,,
,-87.537,-87.537,24.305,17.186,295.367,-127.537
